ASIN,BBR,offer_changed_notification_id
B000CQ6DK8,0.03030350877192983,227607012.0
B000CQOIR8,0.19121124408206205,227588232.0
B000CQOIVE,0.10798489827856027,227466340.0
B000CQTG98,0.07678014981273408,227574754.0
B000CSI69C,0.0,227609718.0
B000CSK2EY,0.001579778830963665,227614757.0
B000E0PPG0,0.0009648241206030151,226969913.0
B000E1D2UK,0.027176007497656984,227613968.0
B000E1DTG2,0.9650420550847457,227611473.0
B000E1FMGC,0.000666,227614476.0
B000E1FMNA,0.0,227614879.0
B000E1HJJA,0.021690532544378697,227529788.0
B000E39T28,0.025839297903461723,227604871.0
B000E39T3C,0.11932362101313321,227614895.0
B000E3B8XG,0.062156568294593886,227614126.0
B000E3WXLM,0.09643178571428572,227585092.0
B000E3Z0EY,0.0579593336376084,227603149.0
B000E432KC,0.005963040238450074,227579211.0
B000EFFS4Y,0.049154271186440675,227517550.0
B000EIWEUW,0.0,227582040.0
B000EMVKH6,0.7565866485013624,227567829.0
B000EMXN4E,0.12380190476190475,227561372.0
B000ES5Y1I,0.0,227614632.0
B000ESOUNQ,0.23872957559681696,227497041.0
B000ET20PK,0.0936648921832884,227417385.0
B000ET3QRQ,0.001740287456445993,227460038.0
B000ET9TXQ,0.21268629807692307,227602445.0
B000ETMB5Y,0.0,227561845.0
B000F899O0,0.0017024659863945578,227225843.0
B000F9O85E,0.0,227513061.0
B000FCGTZI,0.32865778816199376,227614678.0
B000FE5PBA,0.0,227533850.0
B000FE5PE2,0.0,227606796.0
B000FE5PEW,0.10838469273743016,227501379.0
B000FE5PI8,0.0,227439574.0
B000FE9C14,0.0,227570177.0
B000FE9C2I,0.0,227614605.0
B000FE9C46,0.0,227599641.0
B000FE9CIM,0.0,227598773.0
B000FECD06,0.457909693877551,227594988.0
B000FGTPY6,0.18862146341463415,227226592.0
B000FIAPXO,0.0,227613577.0
B000FIDZLI,0.0,227579427.0
B000FJA0HE,0.9881022706794017,227602862.0
B000FJF8P8,0.0,227612364.0
B000FJIPQM,0.6561357894736842,227419145.0
B000FJRR2K,0.038000048100048096,227509547.0
B000FK03LQ,0.8039990848427073,227610369.0
B000FKP7MQ,0.0,227598929.0
B000FKP7TY,0.02431917049906319,227608668.0
B000FMPENQ,0.03577550590901732,227596212.0
B000FTLY1K,0.07451458141674333,227613971.0
B000GAXAG0,0.0946144798745426,227597681.0
B000GDTRDC,0.11459827315541601,227571429.0
B000GGNTU6,0.0007864673485444532,227573419.0
B000GQ1TUS,0.5584937106918239,227594595.0
B000GQ4KX6,0.17914798206278026,227614958.0
B000GQ6LF6,0.09478918575063613,227444978.0
B000GRPX5Y,0.03225838709677419,227604795.0
B000GV5GSO,0.08670520231213873,227577281.0
B000GX31F2,0.09230209769253822,227550277.0
B000H0IP9G,0.19425376500545652,227549019.0
B000H0RZB0,0.17832527700831022,227532820.0
B000H2Y78M,0.2535218310801767,227584843.0
B000HBUNAO,0.89499575,227413113.0
B000HCSRH4,0.09145322338830585,227593339.0
B000HD6G7G,0.09759285714285713,227578341.0
B000HEB99A,0.5542297180043384,227611896.0
B000HHJM46,0.0371597972972973,227612928.0
B000HHLY6U,0.35654546413502114,227595717.0
B000HHO4W6,0.1548076154806492,227611927.0
B000HHQ5X2,0.0,227512342.0
B000HHQ8WK,0.6008272600834492,227587768.0
B000HHSC2Y,0.9704580502215657,227431013.0
B000HHSI1E,0.5637670918367347,227612804.0
B000HJDG2I,0.0016229667657389896,227595647.0
B000HMA6W8,0.0,227613456.0
B000HMCA7W,0.1275503978120338,227611601.0
B000HY2IXQ,0.0,227604905.0
B000HZDFVY,0.030957559523809523,227614403.0
B000HZFDPU,0.09312927200152063,227552835.0
B000HZFDQE,0.047853400503778336,227560814.0
B000I01DCQ,0.059462122598353165,226768960.0
B000I1BU6E,0.01681555534204458,227584625.0
B000I1M6XA,0.1924036114570361,227438559.0
B000I1O3HW,0.9664618902439025,227011231.0
B000I1O3OA,0.0,227045267.0
B000I1O4MG,0.9867779246530072,227320065.0
B000I1PKMY,0.004145956034840316,227612817.0
B000I2UTAQ,0.010879401767505098,227430506.0
B000I52BSG,0.0,227473281.0
B000I9RZOW,0.0,227614932.0
B000IOM9J8,0.0,227613608.0
B000J19W5O,0.07164329401485364,227605647.0
B000J1C0QW,0.0,227367213.0
B000J1DAAC,0.022225098039215685,227316950.0
B000J1HDUU,0.013025934314835785,227596169.0
B000J1VM7U,0.2698755769230769,227588893.0
B000J2DGZ0,0.7683613924050633,227612943.0
B000J2DGZU,0.9788747569560845,227608244.0
B000J45H0U,0.04969951515151515,227600470.0
B000JBZYVU,0.3288115866388309,227474784.0
B000JC2ZHA,0.043640006131207845,227584666.0
B000JC4OWY,0.4487598602484472,227305502.0
B000JF7WYS,0.056776586620926245,227505478.0
B000JF8LMK,0.0,227478231.0
B000JLBHLG,0.03401878100637846,227581957.0
B000JLN7VY,0.0,227563441.0
B000JP37JC,0.0,227614838.0
B000JT7IGQ,0.20302178909418658,227606781.0
B000K6ESMK,0.4482291108404385,227606822.0
B000K8IZMC,0.029734030837004405,227063480.0
B000KAZPIW,0.17446662452591657,227263731.0
B000KHZ044,0.0064627586852701565,227614116.0
B000KI111Y,0.057004538852578064,227612712.0
